Experiment,Location,Structure,Fragment,Species,Date_0,Length_cm_0,Width1_cm_0,Width2_cm_0,EV_cm3_0,Survival_0,Comments_0,Date_1,Length_cm_1,Width1_cm_1,Width2_cm_1,EV_cm3_1,Survival_1,Comments_1,Date_2,Length_cm_2,Width1_cm_2,Width2_cm_2,EV_cm3_2,Survival_2,Comments_2,Date_3,Length_cm_3,Width1_cm_3,Width2_cm_3,EV_cm3_3,Survival_3,Comments_3
Depth gradient 2019 - 2020,Pilli Pipa,3,7,Acropora formosa,30-Oct-19,3.7,1.3,1.6,6,100,,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,3,8,Acropora formosa,30-Oct-19,3.4,3,2,17,100,,25-Feb-20,4,3.8,2.4,30,100,,20-May-20,5.1,4.6,2.5,50,100,,7-Oct-20,7.1,7.2,5.4,221,100,
Depth gradient 2019 - 2020,Pilli Pipa,4,1,Acropora formosa,30-Oct-19,3.5,1.4,2,8,100,,25-Feb-20,7.6,2.5,2.1,32,100,,20-May-20,11.6,4.2,2.8,112,100,,7-Oct-20,15.5,5.2,6.2,396,100,>1cm difference
Depth gradient 2019 - 2020,Pilli Pipa,4,2,Acropora formosa,30-Oct-19,4.8,1.7,1.2,8,100,,25-Feb-20,7.7,3.4,2.8,58,100,,20-May-20,12.1,12.7,4.7,719,100,,7-Oct-20,14,8.9,6.5,652,100,
Depth gradient 2019 - 2020,Pilli Pipa,4,3,Acropora formosa,30-Oct-19,3.8,1.1,1.3,4,100,,25-Feb-20,5.2,2,1.7,14,100,,20-May-20,8.3,4.3,3.6,102,100,,7-Oct-20,9.7,6.9,5.5,293,100,
Depth gradient 2019 - 2020,Pilli Pipa,4,4,Acropora formosa,30-Oct-19,5.5,4.5,3.3,66,100,,25-Feb-20,8.5,7,5.4,257,100,,20-May-20,12.4,10.7,9.9,"1,033",100,,7-Oct-20,15.3,12.8,10.4,"1,617",100,
Depth gradient 2019 - 2020,Pilli Pipa,4,5,Acropora formosa,30-Oct-19,6.4,4.3,1.6,44,100,,25-Feb-20,10.3,6.7,2.8,183,100,,20-May-20,13.5,11.8,4.5,704,100,,7-Oct-20,17.1,13.4,8.5,"1,610",100,>1cm difference
Depth gradient 2019 - 2020,Pilli Pipa,4,6,Acropora formosa,30-Oct-19,5.2,2.6,2.2,24,100,,25-Feb-20,6.5,4.7,3.5,86,100,,20-May-20,9.6,4.3,3.8,124,90,,7-Oct-20,10.5,7.7,7.7,489,60,
Depth gradient 2019 - 2020,Pilli Pipa,4,7,Acropora formosa,30-Oct-19,6.5,4.4,2.9,68,100,,25-Feb-20,8.9,5.5,4.3,168,100,,20-May-20,11.4,6.4,5.8,333,100,,7-Oct-20,11.4,5.6,5.9,296,100,
Depth gradient 2019 - 2020,Pilli Pipa,4,8,Acropora formosa,30-Oct-19,7.5,1.7,1.4,14,100,,25-Feb-20,10.6,3.9,2.6,88,100,,20-May-20,12.4,5.4,3.9,211,100,,7-Oct-20,15.4,10.4,7.6,980,100,
Depth gradient 2019 - 2020,Pilli Pipa,5,1,Acropora formosa,30-Oct-19,6.9,2.7,1.6,25,100,,25-Feb-20,7.4,3.4,1.6,36,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,2,Acropora formosa,30-Oct-19,11.6,6.1,3.2,197,100,Large frag,25-Feb-20,12,6.4,3.9,250,95,,20-May-20,9.8,5.3,3.8,159,90,,7-Oct-20,8.7,4.5,6.4,203,70,
Depth gradient 2019 - 2020,Pilli Pipa,5,3,Acropora formosa,30-Oct-19,5.2,5.9,3.7,94,100,,25-Feb-20,6.3,5.5,4.5,124,100,,20-May-20,7.6,5.4,4,132,90,,7-Oct-20,10.9,5.3,6.5,298,60,
Depth gradient 2019 - 2020,Pilli Pipa,5,4,Acropora formosa,30-Oct-19,5,4.8,3.4,66,100,,25-Feb-20,6.6,6,4.2,135,100,,20-May-20,7.5,6.7,4.3,178,90,,7-Oct-20,10.1,6.5,5.8,300,50,
Depth gradient 2019 - 2020,Pilli Pipa,5,5,Acropora formosa,30-Oct-19,6.2,1.6,1.5,12,100,,25-Feb-20,7.2,2,1.6,18,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,6,Acropora formosa,30-Oct-19,4.5,1.4,1.3,6,100,,25-Feb-20,5.1,1.5,1.3,8,100,,20-May-20,6.3,2.5,1.5,20,100,,7-Oct-20,7.7,3.9,3.2,76,70,
Depth gradient 2019 - 2020,Pilli Pipa,5,7,Acropora formosa,30-Oct-19,8.9,3.8,1.8,55,100,,25-Feb-20,8.9,4.4,2.3,78,70,,20-May-20,2.9,2.6,1.9,12,20,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,8,Acropora formosa,30-Oct-19,10.6,2.1,1.7,30,100,,25-Feb-20,6.7,2,1.4,15,70,,20-May-20,2.3,1.9,1.5,5,10,,7-Oct-20,1.9,0.9,0,0,5,
Depth gradient 2019 - 2020,Pilli Pipa,6,1,Acropora formosa,30-Oct-19,5.1,3.6,1.7,28,100,,25-Feb-20,7.9,5.4,3.3,117,100,,20-May-20,8.6,4.3,4,116,80,,7-Oct-20,5.6,5.8,5,128,30,
Depth gradient 2019 - 2020,Pilli Pipa,6,2,Acropora formosa,30-Oct-19,8,2.5,1.5,25,100,,25-Feb-20,10.4,3.1,4.3,112,100,,20-May-20,13.2,8.6,4.5,445,100,,7-Oct-20,18.4,13.3,5.5,"1,277",100,>1cm difference
