"","Depth","Fragment","Species","2019-10-30","2020-02-25","2020-03-18","2020-03-25","2020-04-01","2020-04-08","2020-04-15","2020-04-22","2020-04-29","2020-05-06","2020-05-13","2020-05-20","2020-06-03","2020-06-17","2020-07-15","2020-10-07"
"63","3","6","Pocillopora verrucosa",100,100,100,100,100,100,90,90,90,90,90,0,0,0,0,0
"64","3","6","Porites cylindrica",70,75,80,70,70,70,80,70,70,70,70,80,40,0,0,0
"65","3","7","Acropora verweyi",100,95,100,100,90,90,90,90,80,80,80,90,80,80,80,60
"66","3","7","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,80,0,0,0,0,0
"67","3","7","Porites cylindrica",100,90,90,90,90,90,90,90,90,90,90,85,50,0,0,30
"68","3","8","Acropora verweyi",100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"69","3","8","Pocillopora verrucosa",100,100,90,90,90,90,90,90,90,90,80,0,0,0,0,0
"70","3","8","Porites cylindrica",100,95,80,80,80,80,70,70,70,60,10,0,0,0,0,0
"71","4","1","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"72","4","1","Pocillopora verrucosa",100,100,80,80,70,30,20,20,20,0,0,0,0,0,0,0
"73","4","1","Porites cylindrica",100,95,100,100,100,100,100,100,100,90,90,85,0,0,0,10
"74","4","2","Acropora verweyi",100,95,80,80,80,80,80,80,80,80,80,90,70,70,80,80
"75","4","2","Pocillopora verrucosa",100,100,90,90,90,90,90,90,90,90,90,90,0,0,0,0
"76","4","2","Porites cylindrica",100,100,100,100,100,100,90,90,90,70,70,80,0,0,0,0
"77","4","3","Acropora verweyi",100,100,100,100,100,100,100,100,90,90,80,90,80,70,60,40
"78","4","3","Pocillopora verrucosa",100,100,100,90,90,90,90,90,90,70,0,0,0,0,0,0
"79","4","3","Porites cylindrica",100,100,100,100,100,90,90,90,90,70,10,0,0,0,0,0
"80","4","4","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,90,80,80,NA
"81","4","4","Pocillopora verrucosa",100,100,90,80,70,70,70,70,70,70,70,80,0,0,0,0
"82","4","4","Porites cylindrica",100,100,100,100,100,90,90,90,90,80,80,80,50,20,0,10
"83","4","5","Acropora verweyi",100,95,100,100,100,100,100,100,100,80,85,90,90,70,80,80
"84","4","5","Pocillopora verrucosa",100,100,100,100,90,90,90,90,90,90,0,0,0,0,0,0
"85","4","5","Porites cylindrica",70,10,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"86","4","6","Acropora verweyi",100,100,100,90,90,90,80,80,80,80,80,NA,NA,NA,NA,NA
"87","4","6","Pocillopora verrucosa",100,100,100,90,90,80,80,80,80,70,0,0,0,0,0,0
"88","4","6","Porites cylindrica",100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","4","7","Acropora verweyi",100,95,80,80,80,80,80,80,80,70,70,85,70,70,70,95
"90","4","7","Pocillopora verrucosa",100,100,80,80,80,70,70,70,30,0,0,0,0,0,0,0
"91","4","7","Porites cylindrica",100,85,50,50,50,50,40,40,30,0,0,0,0,0,0,0
"92","4","8","Acropora verweyi",100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"93","4","8","Pocillopora verrucosa",100,100,70,60,10,10,0,0,0,0,0,0,0,0,0,0
"94","4","8","Porites cylindrica",100,85,70,70,70,70,50,50,40,40,0,0,0,0,0,0
"95","5","1","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,90
"96","5","1","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0
"97","5","1","Porites cylindrica",70,85,90,80,80,80,80,80,80,80,80,90,60,50,10,10
"98","5","2","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95
"99","5","2","Pocillopora verrucosa",100,90,90,90,90,80,70,70,70,20,0,0,0,0,0,0
"100","5","2","Porites cylindrica",100,90,100,70,50,30,30,20,10,10,0,0,0,0,0,0
"101","5","3","Acropora verweyi",100,100,100,100,90,90,90,90,70,70,60,75,60,30,30,40
"102","5","3","Pocillopora verrucosa",100,100,100,100,100,100,90,90,90,90,90,10,0,0,0,0
"103","5","3","Porites cylindrica",100,95,90,90,80,0,0,0,0,0,0,0,0,0,0,0
"104","5","4","Acropora verweyi",100,90,90,90,90,90,90,90,80,80,80,75,80,70,70,60
"105","5","4","Pocillopora verrucosa",100,100,100,100,100,90,90,90,90,90,90,90,0,0,0,0
"106","5","4","Porites cylindrica",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","5","5","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90
"108","5","5","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"109","5","5","Porites cylindrica",100,100,100,100,100,100,90,90,90,90,90,85,80,50,10,0
"110","5","6","Acropora verweyi",100,95,100,100,90,90,70,70,70,70,70,50,50,40,40,35
"111","5","6","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"112","5","6","Porites cylindrica",100,90,80,80,80,80,80,80,80,60,10,20,0,0,0,0
"113","5","7","Acropora verweyi",100,90,100,100,100,100,100,100,100,100,90,90,90,90,90,80
"114","5","7","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"115","5","7","Porites cylindrica",100,90,100,100,100,100,100,100,100,100,100,85,60,60,0,20
"116","5","8","Acropora verweyi",100,90,80,80,80,80,70,70,70,70,70,40,60,60,60,40
"117","5","8","Pocillopora verrucosa",100,100,100,100,100,90,80,80,80,80,70,70,10,0,0,0
"118","5","8","Porites cylindrica",100,100,90,90,90,90,90,90,90,90,80,85,70,30,30,30
"119","6","1","Acropora verweyi",100,90,100,90,90,70,70,70,70,60,60,70,60,40,30,30
"120","6","1","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,90,80,90
"121","6","1","Porites cylindrica",100,100,100,70,100,100,100,90,90,80,60,60,60,50,0,0
"122","6","2","Acropora verweyi",100,95,100,100,100,100,100,100,100,90,90,90,90,90,90,30
"123","6","2","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,90,70,0,0
"124","6","2","Porites cylindrica",100,90,70,100,50,40,40,40,40,30,0,0,0,0,0,0
